Produto,Preço,Desconto,Loja
"Placa de Vídeo Galax GeForce RTX 3060 (1-Click OC) LHR, 12GB GDDR6, 15 Gbps, Ray Tracing, DLSS - 36NOL7MD1VOC",R$ 2729.99,,Kabum
"Placa de Video Gigabyte GeForce RTX 3060 Gaming OC 12G, 12 GB GDDR6, LHR, Ray Tracing - GV-N3060GAMING OC-12GD (rev 2.0)",R$ 2819.99,14%,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Gaming Z Trio, 12GB GDDR, RGB, DLSS, Ray Tracing",R$ 2599.99,23%,Kabum
"Placa de Vídeo Gigabyte GeForce RTX 3060 VISION OC 12G, 12GB GDDR6, RGB Fusion, Ray Tracing, Metal Back Plate - GV-N3060VISION OC-12GD",R$ 2699.99,20%,Kabum
"Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Gaming, 8GB GDDR6, RGB, DLSS, Ray Tracing - GV-N306TGAMING OC-8GD (rev. 2.0)",R$ 3999.99,,Kabum
"Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Vision OC, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N306TVISION OC-8GD",R$ 3299.99,17%,Kabum
"Placa de Vídeo PNY NVIDIA GeForce RTX 3060 Ti, 8GB XLR8, Gaming Revel Epic, RGB, Dual Fan - VCG3060T8LDFXPPB1",R$ 3499.99,,Kabum
"Placa de Vídeo Galax NVIDIA GeForce RTX 3060 Ti 1-Click OC, 8GB, GDDR6, LHR, DLSS, Ray Tracing, Preto - 36ISL6MD1VQW",R$ 3159.99,14%,Kabum
"Placa de Vídeo Zotac Gaming GeForce RTX 3060 Twin Edge, 12GB GDDR6, 15 Gbps, Ray Tracing - ZT-A30600E-10M",R$ 3349.99,,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Twin Fan OC, 8GB RAM GDDR6, LHR, DLSS, Ray Tracing - 912-V809-3879",R$ 2899.99,21%,Kabum
"Placa de Vídeo MSI GeForce RTX 3060 Ventus 2X 12G OC, 12GB GDDR6, 15 Gbps, Ray Tracing",R$ 2399.99,24%,Kabum
"Placa de Vídeo Asus NVIDIA GeForce DUAL RTX 3060 Ti O8G V2, 8GB GDDR6, RGB, DLSS, LHR, Ray Tracing",R$ 4299.99,,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Gaming X, 12GB GDDR, RGB, DLSS, Ray Tracing - 912-V397-019",R$ 2699.99,15%,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Gaming X, 8GB GDDR6, 14Gbps, RGB, LHR, DLSS, Ray Tracing - 912-V397-234",R$ 3099.99,18%,Kabum
"Placa de Vídeo Asus Dual NVIDIA Geforce RTX 3060 TI 8G Mini V2, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - 90YV0FT3-M0NA00",R$ 3299.99,10%,Kabum
"Notebook Gamer Predator Helios 300, I7 11ª Geração, Windows 11 Home, 16GB, 512GB SSD, RTX 3060, 15.6"" - PH315-54-7852",R$ 7549.00,,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Ventus 3X OC, 8GB, LHR, DLSS, Ray Tracing",R$ 2999.99,21%,Kabum
"Placa de Vídeo Zotac Gaming GeForce RTX 3060 Twin Edge OC, 12GB GDDR6, 15 Gbps, Ray Tracing - ZT-A30600H-10M",R$ 2399.99,22%,Kabum
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ventus 2X, 12GB GDDR6, DLSS, Ray Tracing - 912-V397-050",R$ 2359.99,23%,Kabum
"Placa de Vídeo Asus TUF RTX 3060 O12G V2 Gaming LHR, 12GB GDDR6, 15 Gbps, RGB, Ray Tracing, DLSS - 90YV0GC0-M0NA10",R$ 3759.99,,Kabum
